state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,unhealthy_or_worse_days,pct_good_days,pct_unhealthy_or_worse_days,median_aqi,p90_aqi,max_aqi,days_ozone,days_pm25,days_pm10,days_co,days_no2
California,Alameda,2024,366,194,171,1,0,0,0,1,53.0,0.3,49,63,105,14,352,0,0,0
California,Amador,2024,359,281,72,6,0,0,0,6,78.3,1.7,40,74,143,359,0,0,0,0
California,Butte,2024,366,231,133,0,1,1,0,2,63.1,0.5,46,71,213,243,115,8,0,0
California,Calaveras,2024,359,261,90,8,0,0,0,8,72.7,2.2,42,74,129,273,86,0,0,0
California,Colusa,2024,366,68,298,0,0,0,0,0,18.6,0.0,54,63,90,31,331,4,0,0
California,Contra Costa,2024,361,193,168,0,0,0,0,0,53.5,0.0,48,63,94,13,348,0,0,0
California,Del Norte,2024,289,232,55,2,0,0,0,2,80.3,0.7,32,54,125,0,289,0,0,0
California,El Dorado,2024,366,261,97,8,0,0,0,8,71.3,2.2,44,80,115,356,5,5,0,0
California,Fresno,2024,366,71,216,65,14,0,0,79,19.4,21.6,67,126,169,196,155,15,0,0
California,Glenn,2024,366,292,74,0,0,0,0,0,79.8,0.0,39,54,80,237,124,5,0,0
California,Humboldt,2024,366,266,100,0,0,0,0,0,72.7,0.0,38,58,86,150,199,17,0,0
California,Imperial,2024,366,83,233,42,5,2,1,50,22.7,13.7,63,107,341,194,98,73,0,1
California,Inyo,2024,366,90,246,17,7,2,4,30,24.6,8.2,61,93,1322,188,130,48,0,0
California,Kern,2024,366,76,196,73,21,0,0,94,20.8,25.7,72,140,177,225,122,19,0,0
California,Kings,2024,366,100,231,33,2,0,0,35,27.3,9.6,60,100,156,165,146,55,0,0
California,Lake,2024,363,361,2,0,0,0,0,0,99.4,0.0,32,41,67,357,6,0,0,0
California,Los Angeles,2024,366,38,195,78,46,9,0,133,10.4,36.3,80,164,230,198,158,9,0,1
California,Madera,2024,366,163,178,25,0,0,0,25,44.5,6.8,52,96,140,215,112,39,0,0
California,Marin,2024,357,308,49,0,0,0,0,0,86.3,0.0,28,52,86,47,307,0,0,3
California,Mariposa,2024,366,255,105,6,0,0,0,6,69.7,1.6,45,74,133,336,30,0,0,0
California,Mendocino,2024,366,244,122,0,0,0,0,0,66.7,0.0,43,57,83,99,265,2,0,0
California,Merced,2024,366,168,163,34,1,0,0,35,45.9,9.6,52,100,151,237,110,19,0,0
California,Mono,2024,366,341,25,0,0,0,0,0,93.2,0.0,19,45,69,0,210,156,0,0
California,Monterey,2024,366,292,74,0,0,0,0,0,79.8,0.0,39,55,71,185,163,18,0,0
California,Nevada,2024,365,313,50,2,0,0,0,2,85.8,0.5,36,55,132,134,231,0,0,0
California,Orange,2024,366,119,231,13,3,0,0,16,32.5,4.4,54,84,172,114,239,2,0,11
California,Placer,2024,366,188,151,27,0,0,0,27,51.4,7.4,50,93,140,263,103,0,0,0
California,Plumas,2024,366,188,162,7,7,2,0,16,51.4,4.4,48,88,253,0,366,0,0,0
California,Riverside,2024,366,43,176,80,60,7,0,147,11.7,40.2,87,174,213,212,115,39,0,0
California,Sacramento,2024,366,182,169,15,0,0,0,15,49.7,4.1,51,84,140,193,173,0,0,0
California,San Benito,2024,366,260,105,1,0,0,0,1,71.0,0.3,43,58,105,218,148,0,0,0
California,San Bernardino,2024,366,40,182,56,61,26,1,144,10.9,39.3,87,185,593,218,123,18,0,7
California,San Diego,2024,366,47,267,48,4,0,0,52,12.8,14.2,71,105,161,202,151,13,0,0
California,San Francisco,2024,334,254,80,0,0,0,0,0,76.0,0.0,33,56,94,22,304,0,0,8
California,San Joaquin,2024,366,178,177,11,0,0,0,11,48.6,3.0,51,79,140,142,215,9,0,0
California,San Luis Obispo,2024,366,193,163,10,0,0,0,10,52.7,2.7,49,80,122,262,102,2,0,0
California,San Mateo,2024,319,281,38,0,0,0,0,0,88.1,0.0,27,51,73,48,258,0,3,10
California,Santa Barbara,2024,366,193,171,2,0,0,0,2,52.7,0.5,49,60,146,162,198,6,0,0
California,Santa Clara,2024,363,201,161,1,0,0,0,1,55.4,0.3,47,63,111,28,334,0,0,1
California,Santa Cruz,2024,366,293,73,0,0,0,0,0,80.1,0.0,39,54,80,117,249,0,0,0
California,Shasta,2024,366,268,94,3,0,1,0,4,73.2,1.1,44,69,232,290,76,0,0,0
California,Siskiyou,2024,366,284,82,0,0,0,0,0,77.6,0.0,41,60,94,256,110,0,0,0
California,Solano,2024,365,343,22,0,0,0,0,0,94.0,0.0,36,46,80,340,22,1,0,2
California,Sonoma,2024,366,348,18,0,0,0,0,0,95.1,0.0,19,41,72,44,197,124,1,0
California,Stanislaus,2024,366,166,162,38,0,0,0,38,45.4,10.4,53,101,150,214,136,16,0,0
California,Sutter,2024,366,195,166,5,0,0,0,5,53.3,1.4,49,80,115,220,146,0,0,0
California,Tehama,2024,366,252,112,2,0,0,0,2,68.9,0.5,43,71,109,280,85,1,0,0
California,Trinity,2024,357,258,98,1,0,0,0,1,72.3,0.3,31,62,113,0,357,0,0,0
California,Tulare,2024,366,76,179,83,28,0,0,111,20.8,30.3,71,147,185,213,144,9,0,0
California,Tuolumne,2024,354,286,64,4,0,0,0,4,80.8,1.1,40,67,115,354,0,0,0,0
California,Ventura,2024,366,191,160,14,1,0,0,15,52.2,4.1,50,84,176,247,116,3,0,0
California,Yolo,2024,366,238,127,1,0,0,0,1,65.0,0.3,45,63,118,203,163,0,0,0
