state,county,tracts_in_calenviroscreen,population_2019_acs,avg_ces_percentile_pop_weighted,median_ces_percentile_tract,share_tracts_ces_pctl_75plus,avg_pm25_concentration_pop_weighted,avg_pm25_percentile_pop_weighted,share_tracts_pm25_pctl_75plus,avg_ozone_percentile_pop_weighted,avg_diesel_pm_percentile_pop_weighted,avg_traffic_percentile_pop_weighted,avg_pollution_burden_percentile_pop_weighted,avg_population_characteristics_percentile_pop_weighted,avg_poverty_percent_pop_weighted,avg_unemployment_percent_pop_weighted,avg_children_under10_percent_pop_weighted,avg_elderly_65over_percent_pop_weighted
California,Alameda,360,1656754,41.1,39.2,9.7,8.79,30.3,0.0,12.2,65.6,53.7,36.7,45.7,21.6,4.7,11.6,13.5
California,Alpine,1,1039,22.0,22.0,0.0,3.05,0.1,0.0,62.5,1.0,0.6,24.8,23.4,38.9,12.5,9.0,29.9
California,Amador,9,38429,39.5,36.6,0.0,8.2,20.4,0.0,66.9,4.2,7.7,38.9,41.1,23.6,6.9,7.7,26.7
California,Butte,51,225817,38.9,41.0,3.9,8.25,23.6,0.0,61.0,33.9,22.9,31.3,48.0,38.9,8.4,11.6,18.0
California,Calaveras,10,45514,33.6,28.3,0.0,8.65,29.9,0.0,71.0,3.2,4.8,27.3,40.9,28.2,6.9,9.4,27.5
California,Colusa,5,21454,55.6,53.9,0.0,7.59,13.2,0.0,38.0,11.2,2.5,50.8,54.2,36.5,4.3,15.0,14.4
California,Contra Costa,207,1142251,38.3,32.0,15.5,8.74,30.5,0.0,20.8,47.0,50.6,35.0,41.9,20.8,5.4,12.1,15.4
California,Del Norte,7,27495,41.3,36.7,0.0,5.8,3.1,0.0,2.8,11.3,8.9,10.0,77.8,44.8,7.7,11.0,17.2
California,El Dorado,42,188563,15.0,11.7,0.0,7.15,10.2,0.0,72.7,12.6,28.9,13.6,21.1,20.6,5.5,10.0,20.5
California,Fresno,199,984521,69.8,79.2,55.3,13.15,91.3,92.0,83.3,45.1,31.4,65.6,67.9,45.3,9.0,15.8,12.0
California,Glenn,6,27976,56.4,51.7,16.7,7.66,13.7,0.0,42.7,27.5,11.6,45.6,60.5,43.9,5.3,13.7,15.9
California,Humboldt,30,135940,33.7,31.4,0.0,6.08,3.8,0.0,2.1,18.0,17.6,14.0,56.1,41.8,7.9,10.8,17.3
California,Imperial,31,180701,76.3,78.9,58.1,9.41,40.6,6.5,54.6,34.5,31.9,61.4,79.1,46.5,14.3,15.7,12.6
California,Inyo,6,17977,25.4,25.9,0.0,4.42,0.7,0.0,37.1,6.9,11.7,16.4,45.4,27.6,3.9,11.7,22.8
California,Kern,151,887641,66.4,74.3,48.3,13.59,83.5,77.5,90.4,40.3,24.7,55.9,69.6,46.5,10.2,16.0,10.7
California,Kings,27,150691,73.1,76.1,51.9,13.53,89.7,85.2,80.5,29.7,14.1,56.5,76.4,43.1,7.8,15.3,10.0
California,Lake,15,64195,39.3,37.2,0.0,3.82,0.4,0.0,17.0,11.6,6.1,17.4,59.8,41.2,10.3,11.6,22.3
California,Lassen,9,30818,28.1,26.4,0.0,4.82,1.1,0.0,55.5,4.9,8.5,32.3,32.0,32.9,6.9,8.3,14.2
California,Los Angeles,2343,10081570,66.5,72.5,45.3,11.65,71.3,45.8,59.8,59.3,61.1,71.3,59.3,34.9,6.2,12.0,13.3
