county_id,state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,unhealthy_or_worse_days,pct_good_days,pct_unhealthy_or_worse_days,median_aqi,p90_aqi,max_aqi,days_ozone,days_pm25,days_pm10,days_co,days_no2,tracts_in_calenviroscreen,population_2019_acs,avg_ces_percentile_pop_weighted,median_ces_percentile_tract,share_tracts_ces_pctl_75plus,avg_pm25_concentration_pop_weighted,avg_pm25_percentile_pop_weighted,share_tracts_pm25_pctl_75plus,avg_ozone_percentile_pop_weighted,avg_diesel_pm_percentile_pop_weighted,avg_traffic_percentile_pop_weighted,avg_pollution_burden_percentile_pop_weighted,avg_population_characteristics_percentile_pop_weighted,avg_poverty_percent_pop_weighted,avg_unemployment_percent_pop_weighted,avg_children_under10_percent_pop_weighted,avg_elderly_65over_percent_pop_weighted,source_note
alameda,California,Alameda,2024,366,194,171,1,0,0,0,1,53.0,0.3,49,63,105,14,352,0,0,0,360,1656754,41.1,39.2,9.7,8.79,30.3,0.0,12.2,65.6,53.7,36.7,45.7,21.6,4.7,11.6,13.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
amador,California,Amador,2024,359,281,72,6,0,0,0,6,78.3,1.7,40,74,143,359,0,0,0,0,9,38429,39.5,36.6,0.0,8.2,20.4,0.0,66.9,4.2,7.7,38.9,41.1,23.6,6.9,7.7,26.7,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
butte,California,Butte,2024,366,231,133,0,1,1,0,2,63.1,0.5,46,71,213,243,115,8,0,0,51,225817,38.9,41.0,3.9,8.25,23.6,0.0,61.0,33.9,22.9,31.3,48.0,38.9,8.4,11.6,18.0,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
calaveras,California,Calaveras,2024,359,261,90,8,0,0,0,8,72.7,2.2,42,74,129,273,86,0,0,0,10,45514,33.6,28.3,0.0,8.65,29.9,0.0,71.0,3.2,4.8,27.3,40.9,28.2,6.9,9.4,27.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
colusa,California,Colusa,2024,366,68,298,0,0,0,0,0,18.6,0.0,54,63,90,31,331,4,0,0,5,21454,55.6,53.9,0.0,7.59,13.2,0.0,38.0,11.2,2.5,50.8,54.2,36.5,4.3,15.0,14.4,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
contra_costa,California,Contra Costa,2024,361,193,168,0,0,0,0,0,53.5,0.0,48,63,94,13,348,0,0,0,207,1142251,38.3,32.0,15.5,8.74,30.5,0.0,20.8,47.0,50.6,35.0,41.9,20.8,5.4,12.1,15.4,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
del_norte,California,Del Norte,2024,289,232,55,2,0,0,0,2,80.3,0.7,32,54,125,0,289,0,0,0,7,27495,41.3,36.7,0.0,5.8,3.1,0.0,2.8,11.3,8.9,10.0,77.8,44.8,7.7,11.0,17.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
el_dorado,California,El Dorado,2024,366,261,97,8,0,0,0,8,71.3,2.2,44,80,115,356,5,5,0,0,42,188563,15.0,11.7,0.0,7.15,10.2,0.0,72.7,12.6,28.9,13.6,21.1,20.6,5.5,10.0,20.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
fresno,California,Fresno,2024,366,71,216,65,14,0,0,79,19.4,21.6,67,126,169,196,155,15,0,0,199,984521,69.8,79.2,55.3,13.15,91.3,92.0,83.3,45.1,31.4,65.6,67.9,45.3,9.0,15.8,12.0,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
glenn,California,Glenn,2024,366,292,74,0,0,0,0,0,79.8,0.0,39,54,80,237,124,5,0,0,6,27976,56.4,51.7,16.7,7.66,13.7,0.0,42.7,27.5,11.6,45.6,60.5,43.9,5.3,13.7,15.9,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
